match_id,radiant_win,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10
5214414441,False,90,40,98,126,10,64,34,108,54,74
5214414442,False,9,57,48,32,21,63,58,43,42,121
5214414449,False,41,43,29,54,45,12,42,111,59,55
5214414450,False,90,99,44,13,76,86,14,74,50,93
5214414451,True,12,29,85,34,27,95,14,42,7,98
5214414452,False,53,47,23,11,19,14,22,101,35,93
5214414453,False,99,21,94,44,100,15,12,85,54,71
5214414454,True,74,26,41,100,110,82,12,21,83,27
5214414455,False,112,12,84,70,96,44,18,4,35,5
5214414456,True,5,99,54,87,120,68,82,47,8,20
5214414457,False,128,35,22,105,44,32,10,19,71,93
5214414458,True,104,39,128,93,25,26,102,54,71,86
5214414459,False,104,67,73,64,62,120,4,57,71,14
5214414460,False,10,51,54,20,91,25,112,67,74,50
5214414461,False,129,76,112,63,26,46,86,88,14,8
5214414462,False,104,96,74,121,14,62,67,2,8,26
5214414463,False,67,18,54,104,22,23,98,42,14,83
5214414464,True,53,26,10,82,14,1,6,7,95,20
5214414471,True,93,7,21,90,69,54,14,30,17,52
5214414472,False,54,77,104,112,71,13,8,84,129,64
5214414473,False,85,26,2,100,39,54,71,50,112,30
5214414474,True,14,76,57,1,68,46,48,99,104,112
5214414475,True,112,78,86,54,39,128,72,21,2,64
5214414476,False,84,19,41,74,21,14,32,50,75,4
5214414477,False,82,120,4,88,37,102,14,12,20,74
5214414478,True,98,6,64,104,62,126,88,113,74,71
5214414479,False,18,14,87,23,41,95,119,81,73,36
5214414480,True,11,93,104,71,14,26,39,31,4,110
5214414481,False,8,30,97,9,43,83,21,91,74,89
5214414482,True,108,9,14,86,104,52,97,75,93,100
5214414483,True,102,17,19,84,114,105,93,34,14,53
5214414484,False,85,28,89,26,129,121,79,25,65,54
5214414485,True,6,100,63,104,50,14,31,25,48,108
5214414486,True,54,75,4,27,41,15,31,12,43,99
5214414487,True,64,126,84,87,110,74,26,35,90,5
5214414488,False,110,108,86,35,46,6,100,47,14,75
5214414489,False,42,128,71,25,8,21,99,14,64,4
5214414490,True,120,17,10,20,57,75,7,87,41,45
5214414497,True,34,25,7,4,86,74,1,53,2,90
5214414498,True,62,14,69,6,16,37,10,63,65,129
5214414499,True,71,60,86,93,61,40,44,105,37,35
5214414500,False,126,112,41,18,16,81,31,93,85,34
5214414501,True,14,84,80,50,93,75,27,74,101,2
5214414502,False,9,83,1,23,26,104,39,108,29,70
5214414503,False,40,17,101,19,52,67,13,77,102,48
5214414504,True,75,22,7,97,99,19,83,119,9,10
5214414506,True,84,37,44,93,46,35,4,23,42,87
5214414507,False,83,4,59,14,1,26,126,104,62,21
5214414509,True,12,11,36,96,84,75,10,51,40,30
5214414510,False,45,60,54,25,128,47,51,20,6,36
